title,name,component_attachment,property_template,value_template,datatype,value_transformation
station_id,station_id,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/dimension/station_id,http://www.opengovintelligence.eu/statistics/marine-institute/dimension/station_id/{station_id},string,
longitude (degrees_east),longitude,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/dimension/longitude,http://www.opengovintelligence.eu/statistics/marine-institute/dimension/longitude/{longitude},number,
latitude (degrees_north),latitude,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/dimension/latitude,http://www.opengovintelligence.eu/statistics/marine-institute/dimension/latitude/{latitude},number,
time (UTC),time,qb:dimension,http://www.opengovintelligence.eu/statistics/marine-institute/dimension/time,http://www.opengovintelligence.eu/statistics/marine-institute/dimension/time/{time},string,
AtmosphericPressure,AtmosphericPressure,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/AtmosphericPressure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/AtmosphericPressure/{AtmosphericPressure},string,
WindDirection,WindDirection,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/WindDirection,http://www.opengovintelligence.eu/statistics/marine-institute/measure/WindDirection/{WindDirection},string,
WindSpeed,WindSpeed,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/WindSpeed,http://www.opengovintelligence.eu/statistics/marine-institute/measure/WindSpeed/{WindSpeed},string,
Gust,Gust,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/Gust,http://www.opengovintelligence.eu/statistics/marine-institute/measure/Gust/{Gust},string,
WaveHeight,WaveHeight,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/WaveHeight,http://www.opengovintelligence.eu/statistics/marine-institute/measure/WaveHeight/{WaveHeight},string,
WavePeriod,WavePeriod,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/WavePeriod,http://www.opengovintelligence.eu/statistics/marine-institute/measure/WavePeriod/{WavePeriod},string,
MeanWaveDirection,MeanWaveDirection,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/MeanWaveDirection,http://www.opengovintelligence.eu/statistics/marine-institute/measure/MeanWaveDirection/{MeanWaveDirection},string,
Hmax,Hmax,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/Hmax,http://www.opengovintelligence.eu/statistics/marine-institute/measure/Hmax/{Hmax},string,
AirTemperature,AirTemperature,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/AirTemperature,http://www.opengovintelligence.eu/statistics/marine-institute/measure/AirTemperature/{AirTemperature},string,
DewPoint,DewPoint,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/DewPoint,http://www.opengovintelligence.eu/statistics/marine-institute/measure/DewPoint/{DewPoint},string,
SeaTemperature,SeaTemperature,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/SeaTemperature,http://www.opengovintelligence.eu/statistics/marine-institute/measure/SeaTemperature/{SeaTemperature},string,
salinity,salinity,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/salinity,http://www.opengovintelligence.eu/statistics/marine-institute/measure/salinity/{salinity},string,
RelativeHumidity,RelativeHumidity,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/RelativeHumidity,http://www.opengovintelligence.eu/statistics/marine-institute/measure/RelativeHumidity/{RelativeHumidity},string,
QC_Flag,QC_Flag,qb:measure,http://www.opengovintelligence.eu/statistics/marine-institute/measure/QC_Flag,http://www.opengovintelligence.eu/statistics/marine-institute/measure/QC_Flag/{QC_Flag},string,
value,value,,http://www.opengovintelligence.eu/statistics/marine-institute/measure/{measure_type},,number,
Measure Type,measure_type,qb:dimension,http://purl.org/linked-data/cube#measureType,http://example.gr/hello/def/measure/{measure_type},string,slugize
